Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-04-12,Daniel Isn't Real,2019,https://boxd.it/150Byx,3,,,2020-04-11
2020-04-12,The Thing,2011,https://boxd.it/151D2b,2.5,,,2020-04-12
2020-04-16,Never Surrender: A Galaxy Quest Documentary,2019,https://boxd.it/15yoNn,4,,,2020-04-15
2020-04-18,Color Out of Space,2019,https://boxd.it/15Mgl9,4,,,2020-04-17
2020-04-24,Tales from the Lodge,2019,https://boxd.it/16wcxn,2,,,2020-04-23
2020-04-24,Monkeybone,2001,https://boxd.it/16wZ8r,2.5,,,2020-04-24
2020-04-25,The Thing,1982,https://boxd.it/16E0qv,5,Yes,,2020-04-25
2020-04-27,Circus of Books,2019,https://boxd.it/16V8Rj,3.5,,,2020-04-26
2020-04-29,DeVour,2005,https://boxd.it/179xg1,2,,,2020-04-28
2020-05-03,Urban Legend,1998,https://boxd.it/17GoQ1,2,,,2020-05-02
2020-05-07,Darkness Falls,2003,https://boxd.it/1899Nf,1,,,2020-05-06
2020-05-16,Matinee,1993,https://boxd.it/19bdk5,4,,,2020-05-15
2020-05-16,My Boyfriend's Back,1993,https://boxd.it/19c5SZ,2,,,2020-05-16
2020-05-17,The Relic,1997,https://boxd.it/19jm8N,2.5,,,2020-05-16
2020-05-17,Creepshow 2,1987,https://boxd.it/19jFyl,2.5,,,2020-05-16
2020-05-21,Phantasm,1979,https://boxd.it/19LJFB,3.5,Yes,,2020-05-20
2020-05-21,Phantasm II,1988,https://boxd.it/19Mh9p,3,,,2020-05-20
2020-05-26,Come to Daddy,2019,https://boxd.it/1anVJL,3,,,2020-05-25
2020-05-28,Population 436,2006,https://boxd.it/1aCaup,2.5,,,2020-05-28
2020-05-29,Texas Chainsaw 3D,2013,https://boxd.it/1aHXDP,2.5,,,2020-05-28
2020-05-29,Leatherface,2017,https://boxd.it/1aHY9V,1,,,2020-05-28
2020-06-06,Strange Brew,1983,https://boxd.it/1bvBZp,3.5,,,2020-06-05
2020-06-07,Pure,2019,https://boxd.it/1bDcdV,2.5,,,2020-06-06
2020-06-07,"New Year, New You",2018,https://boxd.it/1bDV1l,2,,,2020-06-07
2020-06-08,I'm Just F*cking with You,2019,https://boxd.it/1bKb2B,2.5,,,2020-06-07
2020-06-08,Killer Grandma,2018,https://boxd.it/1bMbD7,2.5,,,2020-06-08
2020-06-09,Foxfire,1996,https://boxd.it/1bTqKB,3.5,,,2020-06-09
2020-06-11,Stage Fright,2014,https://boxd.it/1c588D,3,,,2020-06-10
2020-06-12,The Platform,2019,https://boxd.it/1caXZt,3.5,,,2020-06-11
2020-06-13,Sleepaway Camp II: Unhappy Campers,1988,https://boxd.it/1chfT1,1.5,,,2020-06-12
