Date,Name,Year,Letterboxd URI,Rating
2019-03-05,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2019-03-05,Doctor Strange,2016,https://boxd.it/8MH8,2.5
2019-03-05,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2019-03-05,Back to the Future,1985,https://boxd.it/2b8e,5
2019-03-05,The Matrix,1999,https://boxd.it/2a1m,5
2019-03-05,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2019-03-05,The Lobster,2015,https://boxd.it/7tnw,2.5
2019-03-05,Iron Man,2008,https://boxd.it/28dA,4
2019-03-05,Jurassic World,2015,https://boxd.it/4n0g,2.5
2019-03-05,Suicide Squad,2016,https://boxd.it/9row,2
2019-03-05,Return of the Jedi,1983,https://boxd.it/27Vm,5
2019-03-05,Ready Player One,2018,https://boxd.it/aZes,0.5
2019-03-05,10 Cloverfield Lane,2016,https://boxd.it/aZiu,5
2019-03-05,Iron Man 3,2013,https://boxd.it/2cBQ,3
2019-03-05,Captain America: The First Avenger,2011,https://boxd.it/28b0,4
2019-03-05,Children of Men,2006,https://boxd.it/1Y2i,4.5
2019-03-05,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3.5
2019-03-05,Avatar,2009,https://boxd.it/1Efm,2.5
2019-03-05,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,4
2019-03-05,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2019-03-05,Iron Man 2,2010,https://boxd.it/1WZM,3
2019-03-05,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,1
2019-03-05,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,1
2019-03-05,Aliens,1986,https://boxd.it/29PA,4
2019-03-05,Snowpiercer,2013,https://boxd.it/3Icg,3.5
2019-03-05,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4
2019-03-05,Pacific Rim,2013,https://boxd.it/2cB2,3
2019-03-05,The Terminator,1984,https://boxd.it/2aQY,4
2019-03-05,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,1
2019-03-05,Looper,2012,https://boxd.it/ham,3
2019-03-05,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,1
2019-03-05,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2
2019-03-05,X-Men: First Class,2011,https://boxd.it/FOA,3.5
2019-03-05,Prometheus,2012,https://boxd.it/2s9e,2
2019-03-05,Watchmen,2009,https://boxd.it/1QE4,2.5
2019-03-05,Alien: Covenant,2017,https://boxd.it/49UY,2
2019-03-05,Moon,2009,https://boxd.it/1IGQ,5
2019-03-05,The World's End,2013,https://boxd.it/3EiO,3
2019-03-05,Back to the Future Part II,1989,https://boxd.it/2aYI,5
2019-03-05,District 9,2009,https://boxd.it/1Iik,4
2019-03-05,Star Trek Into Darkness,2013,https://boxd.it/uYE,1
2019-03-05,The Iron Giant,1999,https://boxd.it/1Wow,5
2019-03-05,Star Trek,2009,https://boxd.it/1Q6c,3
2019-03-05,Lucy,2014,https://boxd.it/75hu,3
2019-03-05,X-Men,2000,https://boxd.it/1a7s,3
2019-03-05,Star Trek Beyond,2016,https://boxd.it/5Ik4,4
2019-03-05,The Incredible Hulk,2008,https://boxd.it/28dU,2.5
2019-03-05,Minority Report,2002,https://boxd.it/2aWi,2
2019-03-05,The Wolverine,2013,https://boxd.it/2CWU,1
2019-03-05,Super 8,2011,https://boxd.it/dVI,2
2019-03-05,The Fifth Element,1997,https://boxd.it/71k,5
2019-03-05,Back to the Future Part III,1990,https://boxd.it/2aTS,5
2019-03-05,The Fly,1986,https://boxd.it/1YIe,4
2019-03-05,RoboCop,1987,https://boxd.it/22Wu,4.5
2019-03-05,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,4
2019-03-05,I Am Legend,2007,https://boxd.it/21DG,2.5
2019-03-05,Cloud Atlas,2012,https://boxd.it/2W60,1
2019-03-05,Metropolis,1927,https://boxd.it/71a,5
2019-03-05,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,3
2019-03-05,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,3
2019-03-05,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,0.5
2019-03-05,Dredd,2012,https://boxd.it/GZE,5
2019-03-05,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,1
2019-03-05,Elysium,2013,https://boxd.it/2cBm,2
2019-03-05,The Matrix Reloaded,2003,https://boxd.it/2a1c,2.5
2019-03-05,Total Recall,1990,https://boxd.it/29qK,5
2019-03-05,They Live,1988,https://boxd.it/20lm,4
2019-03-05,TRON: Legacy,2010,https://boxd.it/1Dlo,2.5
2019-03-05,Men in Black 3,2012,https://boxd.it/103U,2
2019-03-05,Escape from New York,1981,https://boxd.it/294k,4
2019-03-05,Fantastic Four,2005,https://boxd.it/1XVw,2.5
2019-03-05,Pacific Rim: Uprising,2018,https://boxd.it/83Qa,3
2019-03-05,Primer,2004,https://boxd.it/6YA,4.5
2019-03-05,Jurassic Park III,2001,https://boxd.it/2azI,1
2019-03-05,Batman & Robin,1997,https://boxd.it/2ar0,2
2019-03-05,Megamind,2010,https://boxd.it/16Sk,3
2019-03-05,Power Rangers,2017,https://boxd.it/9KKc,2.5
2019-03-05,Attack the Block,2011,https://boxd.it/hFO,5
2019-03-05,Armageddon,1998,https://boxd.it/2b9Q,2.5
2019-03-05,Jupiter Ascending,2015,https://boxd.it/2Evm,2
2019-03-05,Spaceballs,1987,https://boxd.it/29cy,5
2019-03-05,Assassin's Creed,2016,https://boxd.it/41IK,0.5
2019-03-05,Fantastic Four,2015,https://boxd.it/5a9c,1
2019-03-05,In Time,2011,https://boxd.it/FPS,2.5
2019-03-05,Superman,1978,https://boxd.it/27Qm,5
2019-03-05,Contact,1997,https://boxd.it/29OM,4
2019-03-05,Green Lantern,2011,https://boxd.it/QN4,2.5
2019-03-05,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,4
2019-03-05,Hulk,2003,https://boxd.it/27PS,2.5
2019-03-05,Ender's Game,2013,https://boxd.it/2N9Y,1
2019-03-05,Galaxy Quest,1999,https://boxd.it/29gq,5
2019-03-05,RoboCop,2014,https://boxd.it/3m4k,2
2019-03-05,Event Horizon,1997,https://boxd.it/20d8,4
2019-03-05,Daredevil,2003,https://boxd.it/1YzG,1
2019-03-05,Serenity,2005,https://boxd.it/1Km4,4
2019-03-05,Superman Returns,2006,https://boxd.it/28J2,2
2019-03-05,A Scanner Darkly,2006,https://boxd.it/25jK,3
2019-03-05,Mad Max Beyond Thunderdome,1985,https://boxd.it/1YTm,2.5
2019-03-05,Terminator Salvation,2009,https://boxd.it/2abQ,2
2019-03-05,Cowboys & Aliens,2011,https://boxd.it/F2G,2
2019-03-05,Idiocracy,2006,https://boxd.it/20RW,4.5
2019-03-05,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u,5
2019-03-05,Equilibrium,2002,https://boxd.it/211s,3
2019-03-05,The Island,2005,https://boxd.it/28qE,1
2019-03-05,The Running Man,1987,https://boxd.it/29q6,5
2019-03-05,Tron,1982,https://boxd.it/2b9w,5
2019-03-05,Flubber,1997,https://boxd.it/1YkQ,2
2019-03-05,Superman II,1980,https://boxd.it/204q,3
2019-03-05,The League of Extraordinary Gentlemen,2003,https://boxd.it/1ZVy,2.5
2019-03-05,Turbo Kid,2015,https://boxd.it/9X0c,3.5
2019-03-05,G.I. Joe: Retaliation,2013,https://boxd.it/2o6A,0.5
2019-03-05,Solaris,2002,https://boxd.it/27qS,4
2019-03-05,Star Trek: The Motion Picture,1979,https://boxd.it/2b0O,3.5
2019-03-05,Stargate,1994,https://boxd.it/27iu,4
2019-03-05,Star Trek IV: The Voyage Home,1986,https://boxd.it/2aYe,5
2019-03-05,Bicentennial Man,1999,https://boxd.it/2722,2.5
2019-03-05,Star Trek: First Contact,1996,https://boxd.it/2aTo,4.5
2019-03-05,Evolution,2001,https://boxd.it/1YMK,1.5
2019-03-05,Star Wars: The Clone Wars,2008,https://boxd.it/1Sly,2.5
2019-03-05,Soylent Green,1973,https://boxd.it/1SxE,4
2019-03-05,Logan's Run,1976,https://boxd.it/1Vma,4
2019-03-05,Judge Dredd,1995,https://boxd.it/1Yzm,4
2019-03-05,Star Trek III: The Search for Spock,1984,https://boxd.it/2b00,2.5
2019-03-05,Underworld: Evolution,2006,https://boxd.it/29v6,2
2019-03-05,Justice League: The Flashpoint Paradox,2013,https://boxd.it/5yWW,2.5
2019-03-05,Star Trek VI: The Undiscovered Country,1991,https://boxd.it/2aXg,5
2019-03-05,Superman III,1983,https://boxd.it/1YrM,2.5
2019-03-05,Elektra,2005,https://boxd.it/1XsE,0.5
2019-03-05,RoboCop 2,1990,https://boxd.it/22Wk,2.5
2019-03-05,Æon Flux,2005,https://boxd.it/20vc,1
2019-03-05,Star Trek: Generations,1994,https://boxd.it/2aUm,2
2019-03-05,Sky Captain and the World of Tomorrow,2004,https://boxd.it/23jS,2.5
2019-03-05,Zardoz,1974,https://boxd.it/23Fa,2
2019-03-05,Short Circuit,1986,https://boxd.it/26zY,3
2019-03-05,Underworld: Rise of the Lycans,2009,https://boxd.it/1RZs,1
2019-03-05,Heavy Metal,1981,https://boxd.it/1SZI,3
2019-03-05,Star Trek: Nemesis,2002,https://boxd.it/2aT4,2
2019-03-05,Star Trek: Insurrection,1998,https://boxd.it/2aTe,3
2019-03-05,Titan A.E.,2000,https://boxd.it/20W8,2.5
2019-03-05,Mission to Mars,2000,https://boxd.it/27w2,2.5
2019-03-05,2010,1984,https://boxd.it/24lK,2.5
