Date,Name,Year,Letterboxd URI
2019-03-06,Coraline,2009,https://boxd.it/1NhQ
2019-03-06,It Comes at Night,2017,https://boxd.it/eLuk
2019-03-09,Captain Marvel,2019,https://boxd.it/9vSA
2019-03-13,Candyman,1992,https://boxd.it/1Ys6
2019-03-20,Detention,2011,https://boxd.it/2cHk
2019-03-20,Bubba Ho-tep,2002,https://boxd.it/1Y02
2019-03-25,Hail Satan?,2019,https://boxd.it/kJvC
2019-04-09,The Craft,1996,https://boxd.it/1Zai
2019-04-10,Razorback,1984,https://boxd.it/1upc
2019-05-14,The Inventor: Out for Blood in Silicon Valley,2019,https://boxd.it/kLa2
2019-05-20,Horror Noire: A History of Black Horror,2019,https://boxd.it/l5oe
2019-05-21,Brain Dead,1990,https://boxd.it/22os
2019-06-01,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw
2019-06-25,Vampire's Kiss,1988,https://boxd.it/21aY
2019-07-23,Spider-Man: Far from Home,2019,https://boxd.it/fegG
2019-08-16,Scary Stories to Tell in the Dark,2019,https://boxd.it/eJTW
2019-10-30,Just Desserts: The Making of 'Creepshow',2007,https://boxd.it/c4FA
2019-11-09,Jojo Rabbit,2019,https://boxd.it/iEBG
2019-11-13,Dolemite Is My Name,2019,https://boxd.it/je6E
2019-11-25,Ginger Snaps 2: Unleashed,2004,https://boxd.it/1Wse
2019-11-27,One Cut of the Dead,2017,https://boxd.it/iAFu
2019-12-25,The Hebrew Hammer,2003,https://boxd.it/1FvU
2019-12-31,In Search of Darkness,2019,https://boxd.it/lA5M
2020-02-08,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2020-02-14,Desperado,1995,https://boxd.it/20Bk
2020-04-16,Never Surrender: A Galaxy Quest Documentary,2019,https://boxd.it/nEZe
2020-05-16,Matinee,1993,https://boxd.it/1vV4
2020-05-21,Phantasm,1979,https://boxd.it/1YaG
2020-06-06,Strange Brew,1983,https://boxd.it/1R3S
2020-06-07,Pure,2019,https://boxd.it/mOaS
2020-06-09,Foxfire,1996,https://boxd.it/1GJo
2020-06-16,Doomed! The Untold Story of Roger Corman's The Fantastic Four,2015,https://boxd.it/6rue
2020-06-20,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,https://boxd.it/8HoU
2020-06-21,The Faculty,1998,https://boxd.it/1Z5C
2020-06-26,The Covenant,2006,https://boxd.it/1Xrw
2020-06-26,The Ranger,2018,https://boxd.it/ic9O
2020-06-28,Renaissance,2006,https://boxd.it/1YO2
2020-07-12,Palm Springs,2020,https://boxd.it/lCXQ
2020-07-18,Resident Evil: Afterlife,2010,https://boxd.it/1bVo
2020-07-28,The Guest,2014,https://boxd.it/76RS
2020-07-30,Vamps,2012,https://boxd.it/2wWY
2020-08-03,Blow the Man Down,2019,https://boxd.it/lzJ2
2020-08-03,Happy Death Day,2017,https://boxd.it/fDz4
2020-08-06,Late Phases,2014,https://boxd.it/7t3G
2020-08-07,Stake Land,2010,https://boxd.it/A1S
2020-09-11,Feels Good Man,2020,https://boxd.it/oigS
2020-10-24,Disappearance at Clifton Hill,2019,https://boxd.it/m4nG
2020-11-02,The Craft: Legacy,2020,https://boxd.it/lKYs
2020-11-16,In the Mouth of Madness,1994,https://boxd.it/26vi
2020-11-24,Speed Racer,2008,https://boxd.it/20UQ
2020-11-25,The Fate of the Furious,2017,https://boxd.it/bbCw
2020-11-26,Deathgasm,2015,https://boxd.it/avNs
2020-12-08,Vampires vs. the Bronx,2020,https://boxd.it/kP9M
2020-12-20,A Goofy Movie,1995,https://boxd.it/1Lwu
2020-12-20,Phantom of the Paradise,1974,https://boxd.it/1s34
2020-12-20,Blow Out,1981,https://boxd.it/1TlE
2020-12-25,The Monster Squad,1987,https://boxd.it/1Q1w
2020-12-26,J.R. “Bob” Dobbs and The Church of the SubGenius,2019,https://boxd.it/lbdc
2020-12-26,Friday,1995,https://boxd.it/1VLO
2020-12-29,Cigarette Burns,2005,https://boxd.it/aH2y
2021-01-02,Right to Die,2007,https://boxd.it/al4s
2021-01-02,We All Scream for Ice Cream,2007,https://boxd.it/6TdK
2021-01-02,The Black Cat,2007,https://boxd.it/al3O
2021-01-04,The Washingtonians,2007,https://boxd.it/akUs
2021-01-11,We Can Be Heroes,2020,https://boxd.it/mLc2
2021-02-20,Angel Heart,1987,https://boxd.it/29WG
2021-02-22,Space Sweepers,2021,https://boxd.it/lnnI
2021-03-23,Dirty Computer,2018,https://boxd.it/iLhe
2021-05-01,Bride of Chucky,1998,https://boxd.it/1SJU
2021-05-09,Another Round,2020,https://boxd.it/lkba
2021-05-18,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/2b92
2021-05-20,Tenacious D in The Pick of Destiny,2006,https://boxd.it/27go
2021-05-21,"Chutzpah, This Is?",2005,https://boxd.it/h7Mu
2021-05-23,El Mariachi,1992,https://boxd.it/1YRq
2021-07-02,Darkman,1990,https://boxd.it/1YnK
2021-07-05,Fear Street: 1994,2021,https://boxd.it/lLBk
2021-07-12,The Kid Detective,2020,https://boxd.it/r0qm
2021-08-01,Swan Song,2021,https://boxd.it/tT40
2021-08-02,The Dead Zone,1983,https://boxd.it/1U6g
